name,url,slot
clefairy,https://pokeapi.co/api/v2/pokemon/35/,1
clefable,https://pokeapi.co/api/v2/pokemon/36/,1
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,2
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,2
mr-mime,https://pokeapi.co/api/v2/pokemon/122/,2
cleffa,https://pokeapi.co/api/v2/pokemon/173/,1
igglybuff,https://pokeapi.co/api/v2/pokemon/174/,2
togepi,https://pokeapi.co/api/v2/pokemon/175/,1
togetic,https://pokeapi.co/api/v2/pokemon/176/,1
marill,https://pokeapi.co/api/v2/pokemon/183/,2
azumarill,https://pokeapi.co/api/v2/pokemon/184/,2
snubbull,https://pokeapi.co/api/v2/pokemon/209/,1
granbull,https://pokeapi.co/api/v2/pokemon/210/,1
ralts,https://pokeapi.co/api/v2/pokemon/280/,2
kirlia,https://pokeapi.co/api/v2/pokemon/281/,2
gardevoir,https://pokeapi.co/api/v2/pokemon/282/,2
azurill,https://pokeapi.co/api/v2/pokemon/298/,2
mawile,https://pokeapi.co/api/v2/pokemon/303/,2
mime-jr,https://pokeapi.co/api/v2/pokemon/439/,2
togekiss,https://pokeapi.co/api/v2/pokemon/468/,1
cottonee,https://pokeapi.co/api/v2/pokemon/546/,2
whimsicott,https://pokeapi.co/api/v2/pokemon/547/,2
flabebe,https://pokeapi.co/api/v2/pokemon/669/,1
floette,https://pokeapi.co/api/v2/pokemon/670/,1
florges,https://pokeapi.co/api/v2/pokemon/671/,1
spritzee,https://pokeapi.co/api/v2/pokemon/682/,1
aromatisse,https://pokeapi.co/api/v2/pokemon/683/,1
swirlix,https://pokeapi.co/api/v2/pokemon/684/,1
slurpuff,https://pokeapi.co/api/v2/pokemon/685/,1
sylveon,https://pokeapi.co/api/v2/pokemon/700/,1
dedenne,https://pokeapi.co/api/v2/pokemon/702/,2
carbink,https://pokeapi.co/api/v2/pokemon/703/,2
klefki,https://pokeapi.co/api/v2/pokemon/707/,2
xerneas,https://pokeapi.co/api/v2/pokemon/716/,1
diancie,https://pokeapi.co/api/v2/pokemon/719/,2
primarina,https://pokeapi.co/api/v2/pokemon/730/,2
cutiefly,https://pokeapi.co/api/v2/pokemon/742/,2
ribombee,https://pokeapi.co/api/v2/pokemon/743/,2
morelull,https://pokeapi.co/api/v2/pokemon/755/,2
shiinotic,https://pokeapi.co/api/v2/pokemon/756/,2
comfey,https://pokeapi.co/api/v2/pokemon/764/,1
mimikyu-disguised,https://pokeapi.co/api/v2/pokemon/778/,2
tapu-koko,https://pokeapi.co/api/v2/pokemon/785/,2
tapu-lele,https://pokeapi.co/api/v2/pokemon/786/,2
tapu-bulu,https://pokeapi.co/api/v2/pokemon/787/,2
tapu-fini,https://pokeapi.co/api/v2/pokemon/788/,2
magearna,https://pokeapi.co/api/v2/pokemon/801/,2
hatterene,https://pokeapi.co/api/v2/pokemon/858/,2
impidimp,https://pokeapi.co/api/v2/pokemon/859/,2
morgrem,https://pokeapi.co/api/v2/pokemon/860/,2
grimmsnarl,https://pokeapi.co/api/v2/pokemon/861/,2
milcery,https://pokeapi.co/api/v2/pokemon/868/,1
alcremie,https://pokeapi.co/api/v2/pokemon/869/,1
zacian,https://pokeapi.co/api/v2/pokemon/888/,1
enamorus-incarnate,https://pokeapi.co/api/v2/pokemon/905/,1
fidough,https://pokeapi.co/api/v2/pokemon/926/,1
dachsbun,https://pokeapi.co/api/v2/pokemon/927/,1
tinkatink,https://pokeapi.co/api/v2/pokemon/957/,1
tinkatuff,https://pokeapi.co/api/v2/pokemon/958/,1
tinkaton,https://pokeapi.co/api/v2/pokemon/959/,1
scream-tail,https://pokeapi.co/api/v2/pokemon/985/,1
flutter-mane,https://pokeapi.co/api/v2/pokemon/987/,2
iron-valiant,https://pokeapi.co/api/v2/pokemon/1006/,1
fezandipiti,https://pokeapi.co/api/v2/pokemon/1016/,2
gardevoir-mega,https://pokeapi.co/api/v2/pokemon/10051/,2
mawile-mega,https://pokeapi.co/api/v2/pokemon/10052/,2
floette-eternal,https://pokeapi.co/api/v2/pokemon/10061/,1
altaria-mega,https://pokeapi.co/api/v2/pokemon/10067/,2
audino-mega,https://pokeapi.co/api/v2/pokemon/10069/,2
diancie-mega,https://pokeapi.co/api/v2/pokemon/10075/,2
ninetales-alola,https://pokeapi.co/api/v2/pokemon/10104/,2
mimikyu-busted,https://pokeapi.co/api/v2/pokemon/10143/,2
mimikyu-totem-disguised,https://pokeapi.co/api/v2/pokemon/10144/,2
mimikyu-totem-busted,https://pokeapi.co/api/v2/pokemon/10145/,2
magearna-original,https://pokeapi.co/api/v2/pokemon/10147/,2
ribombee-totem,https://pokeapi.co/api/v2/pokemon/10150/,2
rapidash-galar,https://pokeapi.co/api/v2/pokemon/10163/,2
weezing-galar,https://pokeapi.co/api/v2/pokemon/10167/,2
zacian-crowned,https://pokeapi.co/api/v2/pokemon/10188/,1
hatterene-gmax,https://pokeapi.co/api/v2/pokemon/10221/,2
grimmsnarl-gmax,https://pokeapi.co/api/v2/pokemon/10222/,2
alcremie-gmax,https://pokeapi.co/api/v2/pokemon/10223/,1
enamorus-therian,https://pokeapi.co/api/v2/pokemon/10249/,1
clefable-mega,https://pokeapi.co/api/v2/pokemon/10278/,1
meganium-mega,https://pokeapi.co/api/v2/pokemon/10282/,2
floette-mega,https://pokeapi.co/api/v2/pokemon/10296/,1
magearna-mega,https://pokeapi.co/api/v2/pokemon/10317/,2
magearna-original-mega,https://pokeapi.co/api/v2/pokemon/10318/,2
